name,title,relevance,link
0,Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous.html
0_1,About Us - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/about-us.html
0_2,Student Spaces - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/about-us/student-spaces.html
0_3,Contact Us - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
0_4,ISC Feedback Form - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/about-us/isc-x-fnmisa-town-halls.html
0_5,Programs and Resources - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources.html
0_6,Academic Support - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/academic-support.html
0_7,Cultural Connections - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
0_8,Peer Cousins Mentorship Program - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/peer-cousins.html
0_9,"First Nations, Métis & Inuit Student Association - Indigenous Student Centre - Simon Fraser University",2,https://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
0_10,Careers and Volunteer Services - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services.html
0_11,Financial Aid and Awards - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
0_12,Indigenous Learning Living Community - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/illc.html
0_13,Indigenous Recruitment - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment.html
0_14,Sexual Violence Support & Prevention Office - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/sexual-violence-support---prevention-office.html
0_15,Health and Wellbeing - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/wellness.html
0_16,Indigenous Counselling Services - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/wellness/IndigenousCounsellingServices.html
0_17,Wellness Program - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/wellness/Wellness-Program.html
0_18,Elders Program - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/elders.html
0_19,Meet the Elders & Knowledge Sharers - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/elders/meet-the-elders.html
0_20,Elder Request Form - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/elders/elders-request.html
0_21,Elder Program FAQ - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/elders/ElderProgramFAQ.html
0_22,Events - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/events.html
0_23,Calendar of Events - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/events/calendar-of-events.html
0_24,Monthly Lunches - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/events/monthly-lunches.html
0_25,Indigenous Student Centre Lunch & Learn / Events - Simon Fraser University,1,https://www.sfu.ca/students/indigenous/events/lunch---learn.html
0_26,Women's Memorial March - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/events/women-s-memorial-march.html
0_27,National Day of Awareness for MMIWG2S - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/events/red-dress-day.html
0_28,National Indigenous Peoples Month - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/events/national-indigenous-peoples-month.html
0_29,ISC Honouring Feast - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/events/honouring-feast.html
0_30,Orange Shirt Day - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/events/orange-shirt-day.html
0_31,"Powwow - First Nations, Metis & Inuit Student Association",1,https://www.sfu.ca/students/indigenous/events/Honouring-Indigenous-Students-Powwow.html
0_32,Moose Hide Campaign - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/events/MooseHideCampaign.html
0_33,Tutoring Program - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/academic-support/tutoring.html
0_34,ISC Job Opportunities - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
0_35,Career Spotlights - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops.html
0_36,"Indigenous Recruitment & Retention, Fraser Health - Indigenous Student Centre - Simon Fraser University",2,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/career-spotlight--indigenous-recruitment---retention--fraser-hea.html
0_37,TD Bank - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/career-spotlight--td-bank.html
0_38,First Nations Health Authority - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/first-nations-health-authority.html
0_39,ICBC - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
0_40,Third Party Sponsorship - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/finances/sponsorships.html
0_41,Indigenous University Preparation Pathway - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/indigenous-university-preparation-pathway.html
0_42,Faculty Contacts - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/Faculty_Contacts.html
0_6_1,Indigenous Graduate Students - Faculty of Graduate Studies - Simon Fraser University,2,https://www.sfu.ca/gradstudies/life-community/indigenous.html
0_12_1,Indigenous Living Learning Community - Residence and Housing - Simon Fraser University,1,https://www.sfu.ca/students/residences/housing-options/living-learning-communities/indigenous.html
0_6_1_1,Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous.html
0_6_1_2,Indigenous Student Profiles - Faculty of Graduate Studies - Simon Fraser University,2,https://www.sfu.ca/gradstudies/life-community/indigenous/profiles.html
0_12_1_1,Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous
0_6_1_1_1,About Us - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/about-us.html
0_6_1_1_2,Student Spaces - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/about-us/student-spaces.html
0_6_1_1_3,Contact Us - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
0_6_1_1_4,ISC Feedback Form - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/about-us/isc-x-fnmisa-town-halls.html
0_6_1_1_5,Programs and Resources - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources.html
0_6_1_1_6,Academic Support - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/academic-support.html
0_6_1_1_7,Cultural Connections - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
0_6_1_1_8,Peer Cousins Mentorship Program - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/peer-cousins.html
0_6_1_1_9,"First Nations, Métis & Inuit Student Association - Indigenous Student Centre - Simon Fraser University",2,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
0_6_1_1_10,Careers and Volunteer Services - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services.html
0_6_1_1_11,Financial Aid and Awards - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
0_6_1_1_12,Indigenous Learning Living Community - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/illc.html
0_6_1_1_13,Indigenous Recruitment - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment.html
0_6_1_1_14,Sexual Violence Support & Prevention Office - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/sexual-violence-support---prevention-office.html
0_6_1_1_15,Health and Wellbeing - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/wellness.html
0_6_1_1_16,Indigenous Counselling Services - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/wellness/IndigenousCounsellingServices.html
0_6_1_1_17,Wellness Program - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/wellness/Wellness-Program.html
0_6_1_1_18,Elders Program - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/elders.html
0_6_1_1_19,Meet the Elders & Knowledge Sharers - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/elders/meet-the-elders.html
0_6_1_1_20,Elder Request Form - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/elders/elders-request.html
0_6_1_1_21,Elder Program FAQ - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/elders/ElderProgramFAQ.html
0_6_1_1_22,Events - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/events.html
0_6_1_1_23,Calendar of Events - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/events/calendar-of-events.html
0_6_1_1_24,Monthly Lunches - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/events/monthly-lunches.html
0_6_1_1_25,Indigenous Student Centre Lunch & Learn / Events - Simon Fraser University,1,http://www.sfu.ca/students/indigenous/events/lunch---learn.html
0_6_1_1_26,Women's Memorial March - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/events/women-s-memorial-march.html
0_6_1_1_27,National Day of Awareness for MMIWG2S - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/events/red-dress-day.html
0_6_1_1_28,National Indigenous Peoples Month - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/events/national-indigenous-peoples-month.html
0_6_1_1_29,ISC Honouring Feast - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/events/honouring-feast.html
0_6_1_1_30,Orange Shirt Day - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/events/orange-shirt-day.html
0_6_1_1_31,"Powwow - First Nations, Metis & Inuit Student Association",1,http://www.sfu.ca/students/indigenous/events/Honouring-Indigenous-Students-Powwow.html
0_6_1_1_32,Moose Hide Campaign - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/events/MooseHideCampaign.html
0_6_1_1_33,Tutoring Program - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/academic-support/tutoring.html
0_6_1_1_34,ISC Job Opportunities - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
0_6_1_1_35,Career Spotlights - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops.html
0_6_1_1_36,"Indigenous Recruitment & Retention, Fraser Health - Indigenous Student Centre - Simon Fraser University",2,http://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/career-spotlight--indigenous-recruitment---retention--fraser-hea.html
0_6_1_1_37,TD Bank - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/career-spotlight--td-bank.html
0_6_1_1_38,First Nations Health Authority - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/first-nations-health-authority.html
0_6_1_1_39,ICBC - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
0_6_1_1_40,Third Party Sponsorship - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/finances/sponsorships.html
0_6_1_1_41,Indigenous University Preparation Pathway - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/indigenous-university-preparation-pathway.html
0_6_1_1_42,Faculty Contacts - Indigenous Student Centre - Simon Fraser University,2,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/Faculty_Contacts.html
